date,baseline_pl,experiment_pl,baseline_trades,experiment_trades,blocked,day_type,first_trade_holds
2025-03-04,-81.0,98.0,2,1,0,CHOP,0
2025-03-05,-477.0,0.0,10,0,0,CHOP,0
2025-03-06,-678.0,-397.0,5,4,2,CHOP,2
2025-03-07,162.0,304.0,4,2,0,CHOP,0
2025-03-10,-680.0,-194.0,4,1,0,CHOP,0
2025-03-11,-332.0,-536.0,2,2,2,CHOP,2
2025-03-12,-290.0,-163.0,7,3,0,CHOP,0
2025-03-13,-546.0,-394.0,9,2,0,CHOP,0
2025-03-14,312.0,-182.0,4,1,0,CHOP,0
2025-03-17,-12.0,0.0,3,0,1,CHOP,0
2025-03-18,52.0,-126.0,1,1,0,CHOP,0
2025-03-19,-58.0,50.0,3,1,0,CHOP,0
2025-03-20,243.0,196.0,3,3,2,CHOP,2
2025-03-24,50.0,12.0,1,1,0,CHOP,0
2025-03-25,58.0,-132.0,1,1,0,CHOP,0
2025-03-26,187.0,0.0,4,0,0,CHOP,0
2025-03-27,-319.0,119.0,4,2,0,CHOP,0
2025-03-28,-207.0,55.0,2,1,0,TREND,0
2025-03-31,656.0,107.0,6,1,2,CHOP,2
2025-04-01,-203.0,103.0,6,1,0,CHOP,0
2025-04-02,173.0,283.0,6,2,2,CHOP,2
2025-04-03,324.0,35.0,4,3,2,CHOP,2
2025-04-04,-12.0,-538.0,6,2,0,CHOP,0
2025-04-07,85.0,-1019.0,3,2,0,CHOP,0
2025-04-08,54.0,57.0,13,1,2,CHOP,2
2025-04-09,158.0,-73.0,6,1,2,CHOP,2
2025-04-10,727.0,21.0,7,1,1,CHOP,0
2025-04-11,1214.0,-220.0,5,1,2,CHOP,2
2025-04-14,332.0,-228.0,6,1,2,CHOP,2
2025-04-15,-195.0,-266.0,4,1,0,CHOP,0
2025-04-16,-528.0,211.0,9,2,4,CHOP,4
2025-04-17,-370.0,-170.0,3,2,0,CHOP,0
2025-04-21,510.0,759.0,7,2,2,CHOP,2
2025-04-22,232.0,71.0,2,1,0,CHOP,0
2025-04-23,-420.0,0.0,3,0,0,CHOP,0
2025-04-24,54.0,54.0,1,1,0,TREND,0
2025-04-25,200.0,105.0,5,1,0,CHOP,0
2025-04-28,-46.0,-84.0,4,1,2,CHOP,2
2025-04-29,-562.0,-422.0,3,2,0,CHOP,0
2025-04-30,106.0,-200.0,2,1,2,CHOP,2
2025-05-01,11.0,-57.0,7,3,0,CHOP,0
2025-05-02,-20.0,-5.0,2,1,0,CHOP,0
2025-05-05,75.0,125.0,1,1,0,CHOP,0
2025-05-06,-381.0,-192.0,3,2,0,CHOP,0
2025-05-07,-852.0,-6.0,5,1,0,CHOP,0
2025-05-08,264.0,16.0,6,1,0,CHOP,0
2025-05-09,62.0,52.0,1,1,0,CHOP,0
2025-05-12,-57.0,93.0,2,1,0,CHOP,0
2025-05-13,41.0,47.0,2,1,0,CHOP,0
2025-05-14,85.0,-140.0,3,1,3,CHOP,2
2025-05-15,56.0,-106.0,1,1,0,CHOP,0
2025-05-16,66.0,-48.0,1,1,0,CHOP,0
2025-05-19,141.0,60.0,3,2,4,CHOP,4
2025-05-20,-7.0,-2.0,2,1,0,CHOP,0
2025-05-21,-171.0,-122.0,2,1,0,CHOP,0
2025-05-22,-259.0,-178.0,5,1,0,CHOP,0
2025-05-23,57.0,95.0,1,1,0,CHOP,0
2025-05-26,-154.0,-204.0,4,3,0,CHOP,0
2025-05-27,329.0,84.0,4,1,0,CHOP,0
2025-05-28,-161.0,70.0,2,1,0,CHOP,0
2025-05-29,-423.0,-500.0,3,2,0,CHOP,0
2025-05-30,125.0,102.0,3,1,0,CHOP,0
2025-06-02,7.0,50.0,2,1,0,CHOP,0
2025-06-03,-192.0,-182.0,2,1,0,CHOP,0
2025-06-04,51.0,0.0,1,0,0,CHOP,0
2025-06-05,-184.0,-2.0,4,1,0,CHOP,0
2025-06-06,-58.0,-192.0,2,1,0,CHOP,0
2025-06-09,-38.0,-78.0,2,1,1,CHOP,0
2025-06-10,-398.0,-80.0,4,1,0,CHOP,0
2025-06-11,-59.0,91.0,2,1,0,CHOP,0
2025-06-12,82.0,125.0,1,1,0,CHOP,0
2025-06-13,-814.0,-27.0,5,3,2,CHOP,2
2025-06-16,57.0,106.0,1,1,0,CHOP,0
2025-06-17,228.0,91.0,4,1,1,CHOP,0
2025-06-18,335.0,229.0,4,2,0,CHOP,0
2025-06-19,68.0,92.0,1,1,0,CHOP,0
2025-06-23,270.0,92.0,8,1,2,CHOP,2
