Timestamp,High,Low,Close
2026-01-02 16:10:00-05:00,48404,48381,48396
2026-01-02 16:11:00-05:00,48429,48378,48423
2026-01-02 16:12:00-05:00,48428,48377,48382
2026-01-02 16:13:00-05:00,48413,48368,48413
2026-01-02 16:14:00-05:00,48428,48405,48427
2026-01-02 16:15:00-05:00,48436,48413,48436
2026-01-02 16:16:00-05:00,48471,48435,48467
2026-01-02 16:17:00-05:00,48479,48454,48468
2026-01-02 16:18:00-05:00,48502,48466,48492
2026-01-02 16:19:00-05:00,48495,48439,48441
2026-01-02 16:20:00-05:00,48465,48434,48461
2026-01-02 16:21:00-05:00,48478,48434,48438
2026-01-02 16:22:00-05:00,48469,48433,48465
2026-01-02 16:23:00-05:00,48506,48466,48505
2026-01-02 16:24:00-05:00,48506,48473,48480
2026-01-02 16:25:00-05:00,48503,48477,48495
2026-01-02 16:26:00-05:00,48501,48469,48470
2026-01-02 16:27:00-05:00,48485,48470,48483
2026-01-02 16:28:00-05:00,48487,48452,48458
2026-01-02 16:29:00-05:00,48479,48458,48468
2026-01-02 16:30:00-05:00,48480,48443,48446
2026-01-02 16:31:00-05:00,48473,48442,48465
2026-01-02 16:32:00-05:00,48476,48455,48470
2026-01-02 16:33:00-05:00,48471,48436,48439
2026-01-02 16:34:00-05:00,48472,48436,48469
2026-01-02 16:35:00-05:00,48478,48459,48466
2026-01-02 16:36:00-05:00,48470,48439,48440
2026-01-02 16:37:00-05:00,48477,48440,48474
2026-01-02 16:38:00-05:00,48481,48450,48455
2026-01-02 16:39:00-05:00,48461,48441,48450
2026-01-02 16:40:00-05:00,48454,48427,48433
2026-01-02 16:41:00-05:00,48430,48410,48422
2026-01-02 16:42:00-05:00,48435,48414,48418
2026-01-02 16:43:00-05:00,48427,48404,48420
2026-01-02 16:44:00-05:00,48438,48407,48425
2026-01-02 16:45:00-05:00,48423,48391,48396
2026-01-02 16:46:00-05:00,48400,48378,48386
2026-01-02 16:47:00-05:00,48402,48379,48390
2026-01-02 16:48:00-05:00,48400,48376,48393
2026-01-02 16:49:00-05:00,48394,48374,48376
2026-01-02 16:50:00-05:00,48377,48365,48375
2026-01-02 16:51:00-05:00,48383,48350,48350
2026-01-02 16:52:00-05:00,48361,48321,48322
2026-01-02 16:53:00-05:00,48324,48307,48321
2026-01-02 16:54:00-05:00,48333,48316,48332
2026-01-02 16:55:00-05:00,48331,48312,48328
2026-01-02 16:56:00-05:00,48335,48311,48326
2026-01-02 16:57:00-05:00,48339,48316,48339
2026-01-02 16:58:00-05:00,48344,48327,48337
2026-01-02 16:59:00-05:00,48338,48325,48335
2026-01-02 17:00:00-05:00,48396,48393,48396
2026-01-02 17:01:00-05:00,48373,48352,48369
2026-01-02 17:02:00-05:00,48385,48364,48381
2026-01-02 17:03:00-05:00,48395,48376,48379
2026-01-02 17:04:00-05:00,48379,48355,48367
2026-01-02 17:05:00-05:00,48376,48364,48373
2026-01-02 17:06:00-05:00,48403,48372,48403
2026-01-02 17:07:00-05:00,48405,48387,48400
2026-01-02 17:08:00-05:00,48406,48379,48379
2026-01-02 17:09:00-05:00,48389,48370,48370
2026-01-02 17:10:00-05:00,48383,48368,48375
2026-01-02 17:11:00-05:00,48391,48375,48391
2026-01-02 17:12:00-05:00,48413,48382,48413
2026-01-02 17:13:00-05:00,48452,48412,48451
2026-01-02 17:14:00-05:00,48474,48450,48467
2026-01-02 17:15:00-05:00,48471,48450,48461
2026-01-02 17:16:00-05:00,48471,48462,48463
2026-01-02 17:17:00-05:00,48484,48461,48482
2026-01-02 17:18:00-05:00,48494,48475,48483
2026-01-02 17:19:00-05:00,48489,48468,48473
2026-01-02 17:20:00-05:00,48485,48465,48466
2026-01-02 17:21:00-05:00,48484,48463,48475
2026-01-02 17:22:00-05:00,48492,48471,48487
2026-01-02 17:23:00-05:00,48502,48484,48494
2026-01-02 17:24:00-05:00,48495,48477,48488
2026-01-02 17:25:00-05:00,48490,48467,48471
2026-01-02 17:26:00-05:00,48476,48458,48464
2026-01-02 17:27:00-05:00,48471,48455,48467
2026-01-02 17:28:00-05:00,48474,48447,48473
2026-01-02 17:29:00-05:00,48473,48461,48470
2026-01-02 17:30:00-05:00,48482,48465,48482
2026-01-02 17:31:00-05:00,48523,48480,48509
2026-01-02 17:32:00-05:00,48512,48496,48504
2026-01-02 17:33:00-05:00,48508,48496,48502
2026-01-02 17:34:00-05:00,48511,48487,48490
2026-01-02 17:35:00-05:00,48491,48466,48472
2026-01-02 17:36:00-05:00,48478,48460,48468
2026-01-02 17:37:00-05:00,48482,48461,48466
2026-01-02 17:38:00-05:00,48471,48442,48446
2026-01-02 17:39:00-05:00,48452,48430,48446
2026-01-02 17:40:00-05:00,48453,48441,48444
2026-01-02 17:41:00-05:00,48454,48423,48423
2026-01-02 17:42:00-05:00,48435,48414,48434
2026-01-02 17:43:00-05:00,48456,48432,48446
2026-01-02 17:44:00-05:00,48446,48427,48427
2026-01-02 17:45:00-05:00,48446,48428,48441
2026-01-02 17:46:00-05:00,48457,48435,48449
2026-01-02 17:47:00-05:00,48449,48428,48429
2026-01-02 17:48:00-05:00,48434,48424,48428
2026-01-02 17:49:00-05:00,48431,48387,48390
2026-01-02 17:50:00-05:00,48393,48373,48374
2026-01-02 17:51:00-05:00,48381,48364,48369
2026-01-02 17:52:00-05:00,48382,48367,48375
2026-01-02 17:53:00-05:00,48385,48369,48376
2026-01-02 17:54:00-05:00,48398,48380,48381
2026-01-02 17:55:00-05:00,48391,48366,48391
2026-01-02 17:56:00-05:00,48407,48388,48403
