trial,value,best,win_pct,win_days,lose_days,total_pts,warmup_minutes,steep_angle_threshold,proximity_points,min_entry_angle,partial_tp_pts,wm_shield_distance,swing_anchor_threshold,spike_profit_pts,spike_profit_bars,avg_1000,avg_1100,avg_1200,avg_1300,avg_1400,avg_1500,avg_1600,avg_1700
140,355.7,442.0,76.0,501,158,234381.0,6,67.5,8.0,15.0,25.0,2.0,5.0,50.0,9,60.5,146.4,212.2,248.8,287.6,314.0,341.9,355.7
141,236.0,442.0,67.4,444,215,155492.0,5,67.5,8.0,15.0,50.0,14.0,5.0,50.0,9,62.1,128.5,162.5,172.6,190.2,213.0,225.4,236.0
142,313.4,442.0,73.3,483,176,206545.0,5,67.5,8.0,15.0,50.0,2.0,5.0,125.0,9,51.1,121.1,181.5,215.3,249.7,277.5,302.9,313.4
143,406.2,442.0,74.8,493,166,267666.0,5,67.5,7.0,15.0,50.0,2.0,5.0,50.0,9,62.3,160.6,238.0,281.4,326.1,357.8,392.4,406.2
144,390.9,442.0,74.2,489,170,257608.0,5,65.0,8.0,15.0,50.0,2.0,5.0,50.0,9,60.2,154.6,226.8,267.5,311.8,342.4,376.3,390.9
145,406.5,442.0,75.3,496,163,267859.0,5,67.5,8.0,15.0,50.0,2.0,5.0,50.0,9,62.1,161.2,238.0,281.3,326.1,358.0,392.6,406.5
146,374.5,442.0,74.1,488,171,246772.0,10,65.0,7.0,15.0,50.0,2.0,5.0,50.0,8,51.7,144.5,215.3,255.4,297.9,327.4,360.5,374.5
147,409.1,442.0,75.0,494,165,269621.0,5,67.5,6.0,15.0,50.0,2.0,5.0,50.0,9,63.0,161.4,239.3,283.0,327.9,360.0,395.4,409.1
148,409.4,442.0,75.4,497,162,269819.0,5,65.0,7.0,30.0,50.0,0.0,5.0,50.0,8,59.3,158.6,233.1,281.3,323.1,357.1,394.0,409.4
149,409.4,442.0,74.8,493,166,269815.0,5,65.0,6.0,35.0,50.0,0.0,5.0,50.0,8,60.2,159.5,233.8,281.7,323.1,356.5,393.9,409.4
150,397.4,442.0,74.7,492,167,261859.0,5,65.0,6.0,35.0,50.0,0.0,5.0,50.0,7,59.9,155.5,227.3,275.3,314.3,347.9,382.5,397.4
151,260.9,442.0,66.8,440,219,171913.0,5,65.0,6.0,40.0,50.0,10.0,5.0,50.0,8,59.8,124.6,160.7,182.1,204.4,227.9,250.3,260.9
152,398.9,442.0,75.1,495,164,262854.0,5,65.0,5.0,30.0,50.0,0.0,5.0,50.0,7,60.3,157.0,228.6,276.8,315.4,349.5,384.0,398.9
153,409.4,442.0,74.8,493,166,269815.0,5,65.0,6.0,35.0,50.0,0.0,5.0,50.0,8,60.2,159.5,233.8,281.7,323.1,356.5,393.9,409.4
