date,total_pts,trades,mode,blocked,first_trade_holds
2025-08-26,-78.0,1,CHOP,2,0
2025-08-27,-38.0,1,TREND,0,0
2025-08-28,-14.0,1,CHOP,0,0
2025-08-29,-38.0,2,TREND,0,0
2025-09-01,86.0,2,TREND,0,0
2025-09-02,147.0,2,TREND,1,1
2025-09-03,71.0,1,TREND,0,0
2025-09-04,-132.0,2,TREND,0,0
2025-09-05,377.0,1,TREND,0,0
2025-09-08,-120.0,2,TREND,0,0
2025-09-09,-246.0,3,TREND,0,0
2025-09-10,-172.0,2,TREND,0,0
2025-09-11,375.0,1,TREND,1,1
2025-09-12,-130.0,2,TREND,0,0
2025-09-15,-128.0,2,TREND,0,0
2025-09-16,-110.0,2,TREND,1,1
2025-09-17,-38.0,1,TREND,0,0
2025-09-18,-135.0,2,TREND,5,2
2025-09-22,223.0,1,TREND,0,0
2025-09-23,-93.0,3,TREND,0,0
2025-09-24,-38.0,1,TREND,0,0
2025-09-25,-58.0,1,CHOP,0,0
2025-09-26,-80.0,2,TREND,2,2
2025-09-29,-20.0,1,TREND,0,0
2025-09-30,-246.0,3,TREND,0,0
2025-10-01,-130.0,2,TREND,1,0
2025-10-02,-50.0,2,TREND,0,0
2025-10-03,363.0,1,TREND,1,0
2025-10-06,99.0,1,TREND,0,0
2025-10-07,143.0,1,TREND,0,0
2025-10-08,-10.0,1,TREND,2,0
2025-10-09,116.0,1,TREND,0,0
2025-10-10,-332.0,3,TREND,0,0
2025-10-13,-196.0,2,TREND,0,0
2025-10-14,606.0,2,TREND,4,0
2025-10-15,76.0,1,TREND,1,0
2025-10-16,-122.0,3,TREND,0,0
2025-10-17,-340.0,3,TREND,1,1
2025-10-20,-140.0,2,TREND,0,0
2025-10-21,247.0,1,TREND,0,0
2025-10-22,-196.0,2,TREND,0,0
2025-10-23,-122.0,3,TREND,0,0
2025-10-24,-64.0,2,CHOP,0,0
2025-10-27,-130.0,2,TREND,0,0
2025-10-28,-306.0,2,TREND,0,0
2025-10-29,-82.0,2,TREND,1,1
2025-10-30,359.0,2,TREND,0,0
2025-10-31,-106.0,2,TREND,0,0
2025-11-03,98.0,1,TREND,0,0
2025-11-04,215.0,1,TREND,3,1
2025-11-05,122.0,1,TREND,1,1
2025-11-06,153.0,2,TREND,1,1
2025-11-07,-110.0,2,CHOP,0,0
2025-11-10,-18.0,2,TREND,0,0
2025-11-11,-392.0,3,TREND,0,0
2025-11-12,-130.0,2,TREND,1,1
2025-11-13,-108.0,2,TREND,0,0
2025-11-14,-366.0,3,TREND,1,0
2025-11-17,91.0,1,TREND,0,0
