date,outcome,entry_time,exit_time,entry_type,exit_type,direction,entry_price,exit_price,realized_pl,bars_held,bars_since_open,slope_purple,slope_blue,line_spacing,support_resistance_dist,new_highs_10bar,new_lows_10bar,atr_14,avg_bar_size,velocity_5bar,mfe,mae,confidence_at_entry,entry_hour
2024-08-22,TRUE_TREND,13:00:00,13:31:00,TREND_SHORT,PARTIAL_TP,short,40802.0,40705.0,97.0,31,210,0.3329593771102191,-9.750987698739035,19.67713744091452,369.90214146720245,0,8,21.357142857142858,20.733333333333334,-23.0,97.0,-42.0,0.0,13
2024-08-22,FALSE_TREND,13:55:00,14:09:00,TREND_SHORT,EXIT_FLAT,short,40694.0,40761.0,-134.0,14,265,-6.552692575165721,0.2855522375467604,34.131151973837405,469.87454042453464,1,6,19.285714285714285,18.666666666666668,-57.0,5.0,-67.0,0.0,13
2024-08-23,FALSE_TREND,09:50:00,10:00:00,TREND_SHORT,EXIT_FLAT,short,40967.0,41077.0,-220.0,10,20,-12.00029296875,0.23495560033566595,10.99970703125291,92.99427029038634,2,5,21.071428571428573,21.333333333333332,-62.0,15.0,-110.0,0.0,9
2024-08-23,TRUE_TREND,10:09:00,10:12:00,TREND_LONG,PARTIAL_TP,long,41151.0,41209.0,58.0,3,39,-5.99981689453125,12.0,20.0,220.99304247096006,4,0,34.92857142857143,33.4,35.0,58.0,0.0,0.0,10
2024-08-23,FALSE_TREND,11:17:00,11:45:00,TREND_LONG,EXIT_FLAT,long,41274.0,41184.0,-180.0,28,107,7.333864524147726,-0.9998807748335183,195.99690014567022,339.96521235481487,6,2,28.857142857142858,28.733333333333334,125.0,25.0,-90.0,0.0,11
2024-08-23,FALSE_TREND,12:46:00,12:50:00,TREND_SHORT,EARLY_HARD_STOP,short,40949.0,40990.0,-82.0,4,196,-4.241630174930947,-4.643416256855208,208.64514278299612,379.9643938542722,0,7,24.285714285714285,23.866666666666667,-69.0,0.0,-41.0,0.0,12
2024-08-26,TRUE_TREND,11:10:00,11:31:00,TREND_SHORT,PARTIAL_TP,short,41336.0,41281.0,55.0,21,100,-4.76907667399418,-1.617774127313969,86.37953024180752,196.98730690413504,0,9,17.785714285714285,17.8,-31.0,55.0,-33.0,0.0,11
2024-08-26,FALSE_TREND,13:45:00,14:35:00,TREND_SHORT,EXIT_FLAT,short,41253.0,41318.0,-130.0,50,255,-0.7545710412814288,-2.806264632230915,16.619014392250392,271.9368599720765,0,3,19.428571428571427,18.733333333333334,-40.0,16.0,-65.0,0.0,13
2024-08-27,FALSE_TREND,11:33:00,12:15:00,TREND_SHORT,EXIT_FLAT,short,41227.0,41287.0,-120.0,42,123,-0.038404456853664413,-1.153869365527527,58.85231865980313,146.97705770883476,0,6,18.142857142857142,17.933333333333334,-67.0,0.0,-60.0,0.0,11
2024-08-27,FALSE_TREND,12:42:00,12:53:00,TREND_SHORT,EXIT_FLAT,short,41211.0,41274.0,-126.0,11,192,-0.5999905690199518,0.0883126246422482,84.60619214269536,167.96240013292845,1,5,12.571428571428571,12.066666666666666,-37.0,0.0,-63.0,0.0,12
2024-08-28,TRUE_TREND,09:50:00,09:53:00,TREND_LONG,PARTIAL_TP,long,41386.0,41439.0,53.0,3,20,2.0000183105468743,12.499837239583332,2.49951171875,137.99276670884137,5,2,22.214285714285715,23.066666666666666,43.0,53.0,0.0,0.0,9
2024-08-28,TRUE_TREND,11:32:00,11:49:00,TREND_SHORT,PARTIAL_TP,short,41244.0,41192.0,52.0,17,122,-0.5002279344495836,-0.6154899861341487,74.4952133765546,209.9454720769354,0,6,19.857142857142858,20.133333333333333,-46.0,52.0,-25.0,0.0,11
2024-08-28,TRUE_TREND,12:07:00,12:23:00,TREND_SHORT,PARTIAL_TP,short,41168.0,41106.0,62.0,16,157,-2.5067329137020318,1.0146747663909312,87.74035496381839,297.9259978386908,4,2,18.785714285714285,17.6,-50.0,62.0,-28.0,0.0,12
2024-08-28,TRUE_TREND,13:49:00,13:55:00,TREND_SHORT,PARTIAL_TP,short,41068.0,41018.0,50.0,6,259,-1.6232288010750684,0.05897806850411576,56.54298525298509,391.86924437368,0,7,16.0,15.466666666666667,-46.0,50.0,-9.0,0.0,13
2024-08-29,FALSE_TREND,09:50:00,09:54:00,TREND_SHORT,EARLY_HARD_STOP,short,41189.0,41238.0,-98.0,4,20,-10.999477942904136,4.999918619791667,83.01044114191609,322.98928109130793,2,3,35.42857142857143,35.266666666666666,-85.0,7.0,-49.0,0.0,9
2024-08-29,TRUE_TREND,11:49:00,12:00:00,TREND_LONG,PARTIAL_TP,long,41513.0,41568.0,55.0,11,139,-0.3028156091094109,1.5685557641281078,46.0036560294684,342.93729458628513,2,5,15.642857142857142,15.6,38.0,55.0,0.0,0.0,11
2024-08-30,TRUE_TREND,11:20:00,11:31:00,TREND_SHORT,PARTIAL_TP,short,41407.0,41325.0,82.0,11,110,-0.9443464848962857,-1.466868544292717,61.05918005883723,193.94963978169108,2,5,17.5,17.2,-52.0,82.0,-9.0,0.0,11
2024-08-30,TRUE_TREND,15:54:00,16:00:00,TREND_SHORT,SESSION_EXIT,short,41637.0,41629.0,16.0,6,384,-9.49995930989583,21.999755859375,18.00048828125,426.90728072177444,7,0,27.857142857142858,26.6,97.0,8.0,-23.0,0.0,15
2024-09-02,FALSE_TREND,10:00:00,10:38:00,TREND_SHORT,EXIT_FLAT,short,41588.0,41626.0,-76.0,38,30,-0.8749500093005953,0.4347467660212863,14.375549897697056,29.997879627189832,2,3,4.928571428571429,4.8,-18.0,30.0,-38.0,0.0,10
